CO2 (g/s),CO (g/s),HC (g/s),NOx (g/s),vel (mph),fuel (g/s),engine (rpm),elevation (m),phase_num
2.749542,0.009667,0.001907,0.074581,0,0.879,649.1,294.4,1
2.761247,0.009629,0.001913,0.075324,0,0.879,650.125,294.04,1
2.771083,0.009627,0.00192,0.076415,0,0.8855,650.95,294,1
2.768025,0.009636,0.001932,0.077003,0,0.8824,649.575,293.73,1
2.757532,0.009654,0.001952,0.076145,0,0.8936,649,293.7,1
2.732773,0.009672,0.001947,0.075367,0,0.8855,650.65,293.43,1
2.732944,0.009695,0.001941,0.076701,0,0.8677,649.825,293.4,1
2.746044,0.00969,0.00194,0.075651,0,0.8954,649.8,293.13,1
2.729757,0.009673,0.001958,0.074818,0,0.869,649.475,293.1,1
2.721135,0.009603,0.001955,0.074868,0,0.8903,650.25,293.1,1
2.731935,0.009584,0.001958,0.07572,0,0.8728,650.175,293.1,1
2.746107,0.009603,0.001973,0.073779,0,0.8775,650.025,293.1,1
2.729824,0.009523,0.001983,0.074391,0,0.8678,650.875,293.1,1
2.726223,0.009502,0.001975,0.07465,0,0.8576,649.4,293.28,1
2.732579,0.009525,0.001973,0.077185,0,0.869,650.05,293.3,1
2.711749,0.009556,0.001987,0.075749,0,0.881,650.35,293.48,1
2.694113,0.009494,0.001983,0.072737,0,0.856,649.975,293.5,1
2.676272,0.00946,0.001964,0.073218,0,0.8662,649.525,293.59,1
2.690823,0.009495,0.001975,0.074002,0,0.8596,649.675,293.6,1
2.676364,0.009469,0.001987,0.074592,0,0.8662,650.2,293.69,1
2.659401,0.009436,0.001989,0.073335,0,0.861,649.8,293.7,1
2.683883,0.009403,0.001992,0.072944,0,0.8756,650.325,293.52,1
2.700664,0.009474,0.002005,0.073955,0,0.866,649.025,293.5,1
2.706245,0.00942,0.002003,0.073246,0,0.869,649.975,293.32,1
2.706737,0.009313,0.001989,0.07454,0,0.8727,650.75,293.3,1
2.715382,0.00937,0.00197,0.074269,0,0.8725,649.825,293.21,1
2.711394,0.00941,0.002,0.074629,0,0.853,650.4,293.2,1
2.707205,0.009419,0.002009,0.074821,0,0.8725,649.525,293.11,1
2.682212,0.009419,0.001997,0.074171,0,0.8527,651.075,293.1,1
2.704342,0.009461,0.001987,0.074213,0,0.8445,648.775,292.92,1
2.69165,0.009418,0.001975,0.074127,0,0.8558,650.55,292.9,1
2.66664,0.009379,0.00198,0.072072,0,0.8462,649.3,292.81,1
2.653695,0.009292,0.001969,0.072645,0,0.8525,650.2,292.8,1
2.644929,0.009375,0.001969,0.071732,0,0.8492,650.7,292.71,1
2.657714,0.009379,0.001972,0.070873,0,0.838,649.525,292.7,1
2.656189,0.009328,0.00197,0.071318,0,0.8462,650.775,292.79,1
2.643786,0.009282,0.001949,0.072313,0,0.8165,654.45,292.8,1
2.637478,0.009243,0.001948,0.072214,0,0.7924,648.8,292.98,1
2.633391,0.009283,0.001951,0.071241,0,0.8035,649.75,293,1
2.614349,0.009288,0.001949,0.070645,0,0.7858,650.075,293.27,1
2.600909,0.0093,0.001945,0.070063,0,0.7858,650.4,293.3,1
2.585302,0.009339,0.001949,0.070064,0,0.7955,649.575,293.57,1
2.564458,0.009363,0.001953,0.069808,0,0.8004,650.55,293.6,1
2.548695,0.009312,0.001948,0.068693,0,0.7908,649.075,293.96,1
2.529423,0.009277,0.001948,0.067285,0,0.7955,650.475,294,1
2.522914,0.009266,0.00196,0.067792,0,0.7756,650.975,294.36,1
2.509497,0.009253,0.001953,0.069316,0,0.7809,649.125,294.4,1
2.529233,0.009219,0.001944,0.068243,0,0.7941,649.125,294.76,1
